run_id,centre_id,centre_name,centre_latitude,centre_longitude,default_terminal_gate_price_change_time,terminal_gate_price_change_time,fuel_type,price_previous,price_current,price_next,delta_next_current
20260401T010248Z,27,Ampol Albany,,,8:30am,12:01am,ULP,234.55,201.54,202.11,0.57
20260401T010248Z,27,Ampol Albany,,,8:30am,12:01am,PULP,244.74,211.54,212.26,0.72
20260401T010248Z,27,Ampol Albany,,,8:30am,12:01am,Diesel,319.23,293.13,298.06,4.93
20260401T010248Z,28,Ampol Broome,,,8:30am,12:01am,ULP,262.49,229.45,230.16,0.71
20260401T010248Z,28,Ampol Broome,,,8:30am,12:01am,PULP,278.31,245.1,246.0,0.9
20260401T010248Z,28,Ampol Broome,,,8:30am,12:01am,Diesel,314.34,288.22,293.21,4.99
20260401T010248Z,6,BP Broome,,,8:30am,12am,ULP,247.21,216.22,216.64,0.42
20260401T010248Z,6,BP Broome,,,8:30am,12am,PULP,257.21,226.22,226.64,0.42
20260401T010248Z,6,BP Broome,,,8:30am,12am,Diesel,321.4,300.61,305.26,4.65
20260401T010248Z,12,Viva Energy Broome,,,8:30am,12am,ULP,284.6,255.79,252.54,-3.25
20260401T010248Z,12,Viva Energy Broome,,,8:30am,12am,PULP,294.91,265.79,262.35,-3.44
20260401T010248Z,12,Viva Energy Broome,,,8:30am,12am,Diesel,339.32,316.1,319.73,3.63
20260401T010248Z,29,Ampol Esperance,,,8:30am,12:01am,Diesel,324.91,298.83,303.75,4.92
20260401T010248Z,7,BP Esperance,,,8:30am,12am,ULP,245.33,214.42,214.83,0.41
20260401T010248Z,7,BP Esperance,,,8:30am,12am,PULP,255.33,224.42,224.83,0.41
20260401T010248Z,7,BP Esperance,,,8:30am,12am,Diesel,314.05,293.23,297.87,4.64
20260401T010248Z,13,Viva Energy Esperance,,,8:30am,12am,Diesel,313.18,288.85,292.51,3.66
20260401T010248Z,30,Ampol Geraldton,,,8:30am,12:01am,ULP,234.31,201.29,201.87,0.58
20260401T010248Z,30,Ampol Geraldton,,,8:30am,12:01am,Diesel,323.08,296.99,301.92,4.93
20260401T010248Z,8,BP Geraldton,,,8:30am,12am,Diesel,313.95,293.12,297.74,4.62
20260401T010248Z,31,Ampol Kwinana,,,8:30am,12:01am,ULP,235.82,202.83,203.41,0.58
20260401T010248Z,31,Ampol Kwinana,,,8:30am,12:01am,PULP,249.69,216.51,217.28,0.77
20260401T010248Z,31,Ampol Kwinana,,,8:30am,12:01am,Diesel,314.25,288.16,293.08,4.92
20260401T010248Z,4,BP Kewdale,,,8:30am,12am,ULP,235.65,204.74,205.15,0.41
20260401T010248Z,4,BP Kewdale,,,8:30am,12am,PULP,245.65,214.74,215.15,0.41
20260401T010248Z,4,BP Kewdale,,,8:30am,12am,Diesel,309.24,288.43,293.04,4.61
20260401T010248Z,5,BP Kwinana,,,8:30am,12am,ULP,235.65,204.74,205.15,0.41
20260401T010248Z,5,BP Kwinana,,,8:30am,12am,PULP,245.65,214.74,215.15,0.41
20260401T010248Z,5,BP Kwinana,,,8:30am,12am,Diesel,309.24,288.43,293.04,4.61
20260401T010248Z,32,Caltex Kwinana,,,8:30am,8:30am,ULP,240.09,208.09,209.9,1.81
20260401T010248Z,32,Caltex Kwinana,,,8:30am,8:30am,PULP,260.81,227.44,229.99,2.55
20260401T010248Z,32,Caltex Kwinana,,,8:30am,8:30am,Diesel,317.4,291.01,299.8,8.79
20260401T010248Z,17,Mobil Kwinana,,,8:30am,8:30am,ULP,242.7,211.64,211.64,0.0
20260401T010248Z,17,Mobil Kwinana,,,8:30am,8:30am,PULP,252.96,221.78,221.78,0.0
20260401T010248Z,17,Mobil Kwinana,,,8:30am,8:30am,Diesel,319.35,295.21,295.21,0.0
20260401T010248Z,10,Viva Energy Kwinana,,,8:30am,12am,ULP,234.84,204.9,201.75,-3.15
20260401T010248Z,10,Viva Energy Kwinana,,,8:30am,12am,PULP,248.28,218.02,214.69,-3.33
20260401T010248Z,10,Viva Energy Kwinana,,,8:30am,12am,Diesel,307.16,283.34,287.0,3.66
20260401T010248Z,26,Ampol Port Hedland,,,8:30am,12:01am,ULP,255.29,222.29,222.92,0.63
20260401T010248Z,26,Ampol Port Hedland,,,8:30am,12:01am,Diesel,319.92,293.83,298.75,4.92
20260401T010248Z,9,BP Port Hedland,,,8:30am,12am,ULP,245.0,214.04,214.45,0.41
20260401T010248Z,9,BP Port Hedland,,,8:30am,12am,Diesel,313.07,292.26,296.87,4.61
20260401T010248Z,33,Caltex Port Hedland,,,8:30am,8:30am,Diesel,323.46,297.08,307.95,10.87
20260401T010248Z,16,Viva Energy Port Hedland,,,8:30am,12am,Diesel,335.45,312.71,316.37,3.66
