dataset,endpoint,params,status,rows,output_path,warning,non_null_price_today,non_null_price_tomorrow,non_null_delta_abs
brands,/brands,{},ok,35.0,fuelwatch_runs\20260330T151706Z\raw\reference\brands.json,,,,
products,/products,{},ok,7.0,fuelwatch_runs\20260330T151706Z\raw\reference\products.json,,,,
suburbs,/sites/suburbs,{},ok,364.0,fuelwatch_runs\20260330T151706Z\raw\reference\suburbs.json,,,,
parameters,/configuration/parameter,{},ok,,fuelwatch_runs\20260330T151706Z\raw\reference\parameters.json,,,,
toggles,/configuration/toggle,{},ok,2.0,fuelwatch_runs\20260330T151706Z\raw\reference\toggles.json,,,,
alerts,/alerts,{},ok,4.0,fuelwatch_runs\20260330T151706Z\raw\reference\alerts.json,,,,
groups,/groups,{},error,,fuelwatch_runs\20260330T151706Z\raw\reference\groups.json,404 Client Error: Not Found for url: https://www.fuelwatch.wa.gov.au/api/groups,,,
regions,/region,{},ok,10.0,fuelwatch_runs\20260330T151706Z\raw\reference\regions.json,,,,
sites_ULP,/sites,{'fuelType': 'ULP'},ok,738.0,fuelwatch_runs\20260330T151706Z\raw\sites\sites_ULP.json,,,,
current_prices_flat,derived,{'fuels': ['ULP']},warning,738.0,fuelwatch_runs\20260330T151706Z\flat\current_prices.csv,Rows returned but tomorrow prices are only populated for 724 of 738 rows,436.0,724.0,436.0
current_prices_effective_flat,derived-cache,"{'fuels': ['ULP'], 'cached_rows_added': 1112, 'cached_today_fills': 295, 'cached_tomorrow_fills': 7, 'cached_delta_recomputed': 0}",ok,1850.0,fuelwatch_runs\20260330T151706Z\flat\current_prices_effective.csv,"Applied cache backfill: today fills=295, tomorrow fills=7, rows added=1112, delta recomputed=0",1824.0,1824.0,1822.0
price_trends_Metro_ULP,/report/price-trends,"{'region': 'Metro', 'fuelType': 'ULP'}",ok,31.0,fuelwatch_runs\20260330T151706Z\raw\reports\price_trends_Metro_ULP.json,,,,
monthly_average_prices_Metro_ULP,/report/monthly-average-prices,"{'region': 'Metro', 'fuelType': 'ULP', 'dateFrom': 'Tue, 31 Dec 2024 16:00:00 GMT', 'dateTo': 'Mon, 30 Mar 2026 15:59:59 GMT'}",ok,15.0,fuelwatch_runs\20260330T151706Z\raw\reports\monthly_average_prices_Metro_ULP.json,,,,
historical_daily_prices_flat,derived,"{'regions': ['Metro'], 'fuels': ['ULP']}",ok,31.0,fuelwatch_runs\20260330T151706Z\flat\historical_daily_prices.csv,,,,
historical_monthly_prices_flat,derived,"{'regions': ['Metro'], 'fuels': ['ULP'], 'dateFrom': 'Tue, 31 Dec 2024 16:00:00 GMT', 'dateTo': 'Mon, 30 Mar 2026 15:59:59 GMT'}",ok,15.0,fuelwatch_runs\20260330T151706Z\flat\historical_monthly_prices.csv,,,,
weekly_retail_prices_index,/report/weekly-retail-prices,{},ok,12.0,fuelwatch_runs\20260330T151706Z\raw\reports\weekly_retail_prices_index.json,,,,
monthly_retail_prices_index,/report/monthly-retail-prices,{},ok,303.0,fuelwatch_runs\20260330T151706Z\raw\reports\monthly_retail_prices_index.json,,,,
terminal_gate_prices_index,/report/terminal-gate-prices,{},ok,26.0,fuelwatch_runs\20260330T151706Z\raw\reports\terminal_gate_prices_index.json,,,,
terminal_gate_centres,/terminalgate/centres,{},ok,6.0,fuelwatch_runs\20260330T151706Z\raw\terminal_gate\centres.json,,,,
terminal_gate_prices_5,/terminalgate/prices/5,{'centreId': 5},ok,1.0,fuelwatch_runs\20260330T151706Z\raw\terminal_gate\prices_5.json,,,,
terminal_gate_prices_1,/terminalgate/prices/1,{'centreId': 1},ok,3.0,fuelwatch_runs\20260330T151706Z\raw\terminal_gate\prices_1.json,,,,
terminal_gate_prices_2,/terminalgate/prices/2,{'centreId': 2},ok,3.0,fuelwatch_runs\20260330T151706Z\raw\terminal_gate\prices_2.json,,,,
terminal_gate_prices_3,/terminalgate/prices/3,{'centreId': 3},ok,2.0,fuelwatch_runs\20260330T151706Z\raw\terminal_gate\prices_3.json,,,,
terminal_gate_prices_6,/terminalgate/prices/6,{'centreId': 6},ok,6.0,fuelwatch_runs\20260330T151706Z\raw\terminal_gate\prices_6.json,,,,
terminal_gate_prices_4,/terminalgate/prices/4,{'centreId': 4},ok,4.0,fuelwatch_runs\20260330T151706Z\raw\terminal_gate\prices_4.json,,,,
terminal_gate_prices_flat,derived,{},ok,44.0,fuelwatch_runs\20260330T151706Z\flat\terminal_gate_prices.csv,,,,
terminal_gate_prices_effective_flat,derived-cache,"{'cached_next_fills': 0, 'cached_previous_fills': 0, 'cached_delta_recomputed': 0}",ok,44.0,fuelwatch_runs\20260330T151706Z\flat\terminal_gate_prices_effective.csv,,,,
