run_id,centre_id,centre_name,centre_latitude,centre_longitude,default_terminal_gate_price_change_time,terminal_gate_price_change_time,fuel_type,price_previous,price_current,price_next,delta_next_current,source_run_id_previous,source_run_id_next,effective_source
20260330T064855Z,27,Ampol Albany,,,8:30am,12:01am,ULP,239.45,239.45,234.55,-4.9,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,27,Ampol Albany,,,8:30am,12:01am,PULP,250.01,250.01,244.74,-5.27,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,27,Ampol Albany,,,8:30am,12:01am,Diesel,315.03,315.03,319.23,4.2,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,28,Ampol Broome,,,8:30am,12:01am,ULP,267.19,267.19,262.49,-4.7,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,28,Ampol Broome,,,8:30am,12:01am,PULP,283.34,283.34,278.31,-5.03,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,28,Ampol Broome,,,8:30am,12:01am,Diesel,310.08,310.08,314.34,4.26,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,6,BP Broome,,,8:30am,12am,ULP,249.38,249.38,247.21,-2.17,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,6,BP Broome,,,8:30am,12am,PULP,259.38,259.38,257.21,-2.17,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,6,BP Broome,,,8:30am,12am,Diesel,312.86,312.86,321.4,8.54,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,12,Viva Energy Broome,,,8:30am,12am,ULP,289.71,289.71,284.6,-5.11,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,12,Viva Energy Broome,,,8:30am,12am,PULP,300.36,300.36,294.91,-5.45,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,12,Viva Energy Broome,,,8:30am,12am,Diesel,340.03,340.03,339.32,-0.71,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,29,Ampol Esperance,,,8:30am,12:01am,Diesel,320.73,320.73,324.91,4.18,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,7,BP Esperance,,,8:30am,12am,ULP,246.98,246.98,245.33,-1.65,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,7,BP Esperance,,,8:30am,12am,PULP,256.98,256.98,255.33,-1.65,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,7,BP Esperance,,,8:30am,12am,Diesel,305.53,305.53,314.05,8.52,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,13,Viva Energy Esperance,,,8:30am,12am,Diesel,314.08,314.08,313.18,-0.9,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,30,Ampol Geraldton,,,8:30am,12:01am,ULP,239.21,239.21,234.31,-4.9,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,30,Ampol Geraldton,,,8:30am,12:01am,Diesel,318.89,318.89,323.08,4.19,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,8,BP Geraldton,,,8:30am,12am,Diesel,305.44,305.44,313.95,8.51,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,31,Ampol Kwinana,,,8:30am,12:01am,ULP,240.71,240.71,235.82,-4.89,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,31,Ampol Kwinana,,,8:30am,12:01am,PULP,254.9,254.9,249.69,-5.21,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,31,Ampol Kwinana,,,8:30am,12:01am,Diesel,310.09,310.09,314.25,4.16,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,4,BP Kewdale,,,8:30am,12am,ULP,237.3,237.3,235.65,-1.65,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,4,BP Kewdale,,,8:30am,12am,PULP,247.3,247.3,245.65,-1.65,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,4,BP Kewdale,,,8:30am,12am,Diesel,300.76,300.76,309.24,8.48,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,5,BP Kwinana,,,8:30am,12am,ULP,237.3,237.3,235.65,-1.65,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,5,BP Kwinana,,,8:30am,12am,PULP,247.3,247.3,245.65,-1.65,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,5,BP Kwinana,,,8:30am,12am,Diesel,300.76,300.76,309.24,8.48,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,32,Caltex Kwinana,,,8:30am,8:30am,ULP,241.1,241.1,240.09,-1.01,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,32,Caltex Kwinana,,,8:30am,8:30am,PULP,263.85,263.85,260.81,-3.04,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,32,Caltex Kwinana,,,8:30am,8:30am,Diesel,308.88,308.88,317.4,8.52,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,17,Mobil Kwinana,,,8:30am,8:30am,ULP,249.91,249.91,242.7,-7.21,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,17,Mobil Kwinana,,,8:30am,8:30am,PULP,260.37,260.37,252.96,-7.41,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,17,Mobil Kwinana,,,8:30am,8:30am,Diesel,321.41,321.41,319.35,-2.06,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,10,Viva Energy Kwinana,,,8:30am,12am,ULP,240.94,240.94,234.84,-6.1,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,10,Viva Energy Kwinana,,,8:30am,12am,PULP,254.72,254.72,248.28,-6.44,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,10,Viva Energy Kwinana,,,8:30am,12am,Diesel,308.09,308.09,307.16,-0.93,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,26,Ampol Port Hedland,,,8:30am,12:01am,ULP,260.12,260.12,255.29,-4.83,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,26,Ampol Port Hedland,,,8:30am,12:01am,Diesel,315.74,315.74,319.92,4.18,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,9,BP Port Hedland,,,8:30am,12am,ULP,246.64,246.64,245.0,-1.64,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,9,BP Port Hedland,,,8:30am,12am,Diesel,304.59,304.59,313.07,8.48,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,33,Caltex Port Hedland,,,8:30am,8:30am,Diesel,314.95,314.95,323.46,8.51,20260330T064855Z,20260330T064855Z,current
20260330T064855Z,16,Viva Energy Port Hedland,,,8:30am,12am,Diesel,336.34,336.34,335.45,-0.89,20260330T064855Z,20260330T064855Z,current
