run_id,centre_id,centre_name,centre_latitude,centre_longitude,default_terminal_gate_price_change_time,terminal_gate_price_change_time,fuel_type,price_previous,price_current,price_next,delta_next_current
20260331T165930Z,27,Ampol Albany,,,8:30am,12:01am,ULP,239.45,234.55,201.54,-33.01
20260331T165930Z,27,Ampol Albany,,,8:30am,12:01am,PULP,250.01,244.74,211.54,-33.2
20260331T165930Z,27,Ampol Albany,,,8:30am,12:01am,Diesel,315.03,319.23,293.13,-26.1
20260331T165930Z,28,Ampol Broome,,,8:30am,12:01am,ULP,267.19,262.49,229.45,-33.04
20260331T165930Z,28,Ampol Broome,,,8:30am,12:01am,PULP,283.34,278.31,245.1,-33.21
20260331T165930Z,28,Ampol Broome,,,8:30am,12:01am,Diesel,310.08,314.34,288.22,-26.12
20260331T165930Z,6,BP Broome,,,8:30am,12am,ULP,249.38,247.21,216.22,-30.99
20260331T165930Z,6,BP Broome,,,8:30am,12am,PULP,259.38,257.21,226.22,-30.99
20260331T165930Z,6,BP Broome,,,8:30am,12am,Diesel,312.86,321.4,300.61,-20.79
20260331T165930Z,12,Viva Energy Broome,,,8:30am,12am,ULP,289.71,284.6,255.79,-28.81
20260331T165930Z,12,Viva Energy Broome,,,8:30am,12am,PULP,300.36,294.91,265.79,-29.12
20260331T165930Z,12,Viva Energy Broome,,,8:30am,12am,Diesel,340.03,339.32,316.1,-23.22
20260331T165930Z,29,Ampol Esperance,,,8:30am,12:01am,Diesel,320.73,324.91,298.83,-26.08
20260331T165930Z,7,BP Esperance,,,8:30am,12am,ULP,246.98,245.33,214.42,-30.91
20260331T165930Z,7,BP Esperance,,,8:30am,12am,PULP,256.98,255.33,224.42,-30.91
20260331T165930Z,7,BP Esperance,,,8:30am,12am,Diesel,305.53,314.05,293.23,-20.82
20260331T165930Z,13,Viva Energy Esperance,,,8:30am,12am,Diesel,314.08,313.18,288.85,-24.33
20260331T165930Z,30,Ampol Geraldton,,,8:30am,12:01am,ULP,239.21,234.31,201.29,-33.02
20260331T165930Z,30,Ampol Geraldton,,,8:30am,12:01am,Diesel,318.89,323.08,296.99,-26.09
20260331T165930Z,8,BP Geraldton,,,8:30am,12am,Diesel,305.44,313.95,293.12,-20.83
20260331T165930Z,31,Ampol Kwinana,,,8:30am,12:01am,ULP,240.71,235.82,202.83,-32.99
20260331T165930Z,31,Ampol Kwinana,,,8:30am,12:01am,PULP,254.9,249.69,216.51,-33.18
20260331T165930Z,31,Ampol Kwinana,,,8:30am,12:01am,Diesel,310.09,314.25,288.16,-26.09
20260331T165930Z,4,BP Kewdale,,,8:30am,12am,ULP,237.3,235.65,204.74,-30.91
20260331T165930Z,4,BP Kewdale,,,8:30am,12am,PULP,247.3,245.65,214.74,-30.91
20260331T165930Z,4,BP Kewdale,,,8:30am,12am,Diesel,300.76,309.24,288.43,-20.81
20260331T165930Z,5,BP Kwinana,,,8:30am,12am,ULP,237.3,235.65,204.74,-30.91
20260331T165930Z,5,BP Kwinana,,,8:30am,12am,PULP,247.3,245.65,214.74,-30.91
20260331T165930Z,5,BP Kwinana,,,8:30am,12am,Diesel,300.76,309.24,288.43,-20.81
20260331T165930Z,32,Caltex Kwinana,,,8:30am,8:30am,ULP,241.1,240.09,208.09,-32.0
20260331T165930Z,32,Caltex Kwinana,,,8:30am,8:30am,PULP,263.85,260.81,227.44,-33.37
20260331T165930Z,32,Caltex Kwinana,,,8:30am,8:30am,Diesel,308.88,317.4,291.01,-26.39
20260331T165930Z,17,Mobil Kwinana,,,8:30am,8:30am,ULP,249.91,242.7,211.64,-31.06
20260331T165930Z,17,Mobil Kwinana,,,8:30am,8:30am,PULP,260.37,252.96,221.78,-31.18
20260331T165930Z,17,Mobil Kwinana,,,8:30am,8:30am,Diesel,321.41,319.35,295.21,-24.14
20260331T165930Z,10,Viva Energy Kwinana,,,8:30am,12am,ULP,240.94,234.84,204.9,-29.94
20260331T165930Z,10,Viva Energy Kwinana,,,8:30am,12am,PULP,254.72,248.28,218.02,-30.26
20260331T165930Z,10,Viva Energy Kwinana,,,8:30am,12am,Diesel,308.09,307.16,283.34,-23.82
20260331T165930Z,26,Ampol Port Hedland,,,8:30am,12:01am,ULP,260.12,255.29,222.29,-33.0
20260331T165930Z,26,Ampol Port Hedland,,,8:30am,12:01am,Diesel,315.74,319.92,293.83,-26.09
20260331T165930Z,9,BP Port Hedland,,,8:30am,12am,ULP,246.64,245.0,214.04,-30.96
20260331T165930Z,9,BP Port Hedland,,,8:30am,12am,Diesel,304.59,313.07,292.26,-20.81
20260331T165930Z,33,Caltex Port Hedland,,,8:30am,8:30am,Diesel,314.95,323.46,297.08,-26.38
20260331T165930Z,16,Viva Energy Port Hedland,,,8:30am,12am,Diesel,336.34,335.45,312.71,-22.74
