run_id,centre_id,centre_name,default_terminal_gate_price_change_time,terminal_gate_price_change_time,fuel_type,price_previous,price_current,price_next,delta_next_current
20260327T091744Z,27,Ampol Albany,8:30am,12:01am,ULP,250.35,245.45,239.45,-6.0
20260327T091744Z,27,Ampol Albany,8:30am,12:01am,PULP,259.69,256.51,250.01,-6.5
20260327T091744Z,27,Ampol Albany,8:30am,12:01am,Diesel,320.14,315.89,315.03,-0.86
20260327T091744Z,28,Ampol Broome,8:30am,12:01am,ULP,276.0,272.24,267.19,-5.05
20260327T091744Z,28,Ampol Broome,8:30am,12:01am,PULP,290.59,288.73,283.34,-5.39
20260327T091744Z,28,Ampol Broome,8:30am,12:01am,Diesel,314.36,310.54,310.08,-0.46
20260327T091744Z,6,BP Broome,8:30am,12am,ULP,255.11,252.9,249.38,-3.52
20260327T091744Z,6,BP Broome,8:30am,12am,PULP,265.11,262.9,259.38,-3.52
20260327T091744Z,6,BP Broome,8:30am,12am,Diesel,311.24,311.52,312.86,1.34
20260327T091744Z,12,Viva Energy Broome,8:30am,12am,ULP,293.51,294.47,289.71,-4.76
20260327T091744Z,12,Viva Energy Broome,8:30am,12am,PULP,304.79,305.44,300.36,-5.08
20260327T091744Z,12,Viva Energy Broome,8:30am,12am,Diesel,334.18,341.8,340.03,-1.77
20260327T091744Z,29,Ampol Esperance,8:30am,12:01am,Diesel,325.92,321.61,320.73,-0.88
20260327T091744Z,7,BP Esperance,8:30am,12am,ULP,253.57,250.89,246.98,-3.91
20260327T091744Z,7,BP Esperance,8:30am,12am,PULP,263.57,260.89,256.98,-3.91
20260327T091744Z,7,BP Esperance,8:30am,12am,Diesel,303.86,304.16,305.53,1.37
20260327T091744Z,13,Viva Energy Esperance,8:30am,12am,Diesel,308.73,316.07,314.08,-1.99
20260327T091744Z,30,Ampol Geraldton,8:30am,12:01am,ULP,250.17,245.25,239.21,-6.04
20260327T091744Z,30,Ampol Geraldton,8:30am,12:01am,Diesel,324.06,319.77,318.89,-0.88
20260327T091744Z,8,BP Geraldton,8:30am,12am,Diesel,303.76,304.06,305.44,1.38
20260327T091744Z,31,Ampol Kwinana,8:30am,12:01am,ULP,251.87,246.85,240.71,-6.14
20260327T091744Z,31,Ampol Kwinana,8:30am,12:01am,PULP,264.53,261.37,254.9,-6.47
20260327T091744Z,31,Ampol Kwinana,8:30am,12:01am,Diesel,315.54,311.08,310.09,-0.99
20260327T091744Z,4,BP Kewdale,8:30am,12am,ULP,243.89,241.21,237.3,-3.91
20260327T091744Z,4,BP Kewdale,8:30am,12am,PULP,253.89,251.21,247.3,-3.91
20260327T091744Z,4,BP Kewdale,8:30am,12am,Diesel,299.33,299.49,300.76,1.27
20260327T091744Z,5,BP Kwinana,8:30am,12am,ULP,243.89,241.21,237.3,-3.91
20260327T091744Z,5,BP Kwinana,8:30am,12am,PULP,253.89,251.21,247.3,-3.91
20260327T091744Z,5,BP Kwinana,8:30am,12am,Diesel,299.33,299.49,300.76,1.27
20260327T091744Z,32,Caltex Kwinana,8:30am,8:30am,ULP,249.65,243.24,241.1,-2.14
20260327T091744Z,32,Caltex Kwinana,8:30am,8:30am,PULP,276.48,268.05,263.85,-4.2
20260327T091744Z,32,Caltex Kwinana,8:30am,8:30am,Diesel,317.36,312.02,308.88,-3.14
20260327T091744Z,17,Mobil Kwinana,8:30am,8:30am,ULP,254.66,252.23,249.91,-2.32
20260327T091744Z,17,Mobil Kwinana,8:30am,8:30am,PULP,265.58,262.92,260.37,-2.55
20260327T091744Z,17,Mobil Kwinana,8:30am,8:30am,Diesel,315.88,318.1,321.41,3.31
20260327T091744Z,10,Viva Energy Kwinana,8:30am,12am,ULP,247.4,246.92,240.94,-5.98
20260327T091744Z,10,Viva Energy Kwinana,8:30am,12am,PULP,261.8,261.01,254.72,-6.29
20260327T091744Z,10,Viva Energy Kwinana,8:30am,12am,Diesel,302.76,310.11,308.09,-2.02
20260327T091744Z,26,Ampol Port Hedland,8:30am,12:01am,ULP,270.55,265.9,260.12,-5.78
20260327T091744Z,26,Ampol Port Hedland,8:30am,12:01am,Diesel,321.12,316.71,315.74,-0.97
20260327T091744Z,9,BP Port Hedland,8:30am,12am,ULP,252.69,250.31,246.64,-3.67
20260327T091744Z,9,BP Port Hedland,8:30am,12am,Diesel,303.16,303.32,304.59,1.27
20260327T091744Z,33,Caltex Port Hedland,8:30am,8:30am,Diesel,321.24,315.89,314.95,-0.94
20260327T091744Z,16,Viva Energy Port Hedland,8:30am,12am,Diesel,330.99,338.34,336.34,-2.0
